Execution times in seconds 
82.473
101.547
77.779
41.822
41.544
42.643
43.072
41.501
40.41
41.605


 Best makespans 
52464.0 38790.0
53704.0 38256.0
53727.0 38034.0
54213.0 38031.0
54299.0 37617.0
55275.0 37329.0
55377.0 37305.0
56296.0 36955.0
56506.0 36952.0
56640.0 36862.0
56862.0 36828.0
56947.0 36236.0
57623.0 36041.0
58000.0 35927.0
58271.0 35892.0
58583.0 35737.0
58609.0 35726.0
58625.0 35480.0
60007.0 34544.0
60078.0 34474.0
60203.0 33494.0
61533.0 33218.0
62371.0 32764.0
62609.0 32503.0
62868.0 32070.0
63611.0 31745.0
64619.0 31646.0
64805.0 30699.0
65469.0 30237.0
65767.0 30194.0
66161.0 30155.0
68989.0 29820.0
69868.0 29307.0
69956.0 28759.0
70365.0 28281.0
71637.0 28051.0
72252.0 27823.0
72476.0 27759.0
73959.0 27582.0
75214.0 27321.0
75456.0 27282.0
75959.0 27211.0
76479.0 27053.0
77316.0 27051.0
77531.0 26844.0
78032.0 26688.0
78369.0 26533.0
78454.0 26475.0
80152.0 25950.0
81244.0 25625.0
82746.0 25388.0
85401.0 25327.0
85717.0 24817.0
86018.0 24815.0
86150.0 24753.0
87036.0 24600.0
87645.0 24232.0
90711.0 23912.0
92419.0 23843.0
94395.0 23534.0
96401.0 23499.0
96789.0 23427.0
96875.0 23314.0
97887.0 23252.0
99145.0 23085.0
102768.0 22595.0
105379.0 22020.0
106264.0 21899.0
109141.0 21893.0
110105.0 21755.0
110197.0 21484.0
113033.0 21460.0
113348.0 21448.0
114567.0 21277.0
114892.0 21173.0
117162.0 21040.0
119093.0 20938.0
119543.0 20753.0
122975.0 20615.0
123250.0 20079.0
124934.0 19842.0
125645.0 19706.0
128182.0 19409.0
129064.0 19366.0
131629.0 18857.0
133603.0 18685.0
136904.0 18420.0
138266.0 18352.0
141276.0 17941.0
146242.0 17402.0
156815.0 17371.0
159885.0 17231.0
166253.0 16858.0
170889.0 16785.0

38211.0 52550.0
38390.0 50720.0
38665.0 50586.0
38688.0 50127.0
39225.0 49464.0
39316.0 48859.0
39396.0 48719.0
39996.0 47940.0
40644.0 46891.0
41650.0 46394.0
41875.0 45921.0
42349.0 45777.0
42445.0 45559.0
42507.0 45410.0
43343.0 44929.0
43515.0 44615.0
43548.0 44495.0
43889.0 44420.0
44155.0 44084.0
44336.0 43973.0
45740.0 43371.0
46386.0 42910.0
46430.0 42315.0
47412.0 42212.0
47671.0 41622.0
48037.0 41492.0
48607.0 41351.0
48991.0 41019.0
49004.0 40959.0
49699.0 40426.0
50764.0 40294.0
51695.0 39817.0
51877.0 39488.0
52772.0 39142.0
52942.0 39107.0
53501.0 38127.0
53534.0 37813.0
54254.0 37639.0
54703.0 37626.0
54785.0 37548.0
55650.0 37353.0
55833.0 37272.0
56025.0 37083.0
56287.0 36978.0
56377.0 36943.0
56741.0 35574.0
56880.0 35572.0
58093.0 35470.0
58097.0 35206.0
58296.0 34814.0
58304.0 34778.0
59551.0 34716.0
60410.0 34285.0
61311.0 33935.0
61583.0 33147.0
61892.0 32825.0
62139.0 32544.0
62827.0 32476.0
62835.0 32403.0
63836.0 32339.0
64451.0 32224.0
64790.0 32133.0
65307.0 31722.0
65327.0 31649.0
65514.0 30873.0
66131.0 30846.0
66217.0 30768.0
66567.0 30424.0
67583.0 30336.0
67915.0 30055.0
69244.0 29863.0
69353.0 29393.0
70802.0 28868.0
71893.0 28291.0
72090.0 27278.0
73812.0 27031.0
75692.0 26972.0
75900.0 26853.0
76500.0 26691.0
77981.0 26677.0
78130.0 26444.0
79830.0 26003.0
80210.0 25936.0
83406.0 25847.0
83789.0 25543.0
84619.0 25262.0
86886.0 25223.0
88463.0 24790.0
88705.0 24261.0
90634.0 24253.0
91976.0 23851.0
93969.0 23613.0
95366.0 23513.0
96588.0 23306.0
96936.0 23186.0
98160.0 23076.0
100987.0 23039.0
100999.0 22909.0
101819.0 22841.0
102246.0 22770.0
103721.0 22672.0
105339.0 22650.0
105383.0 22609.0
105821.0 22005.0
106605.0 21794.0
108036.0 21729.0
110376.0 21485.0
110734.0 21335.0
114919.0 21240.0
115047.0 21102.0
118177.0 21099.0
118274.0 20980.0
121590.0 20891.0
124948.0 20495.0
126672.0 20112.0
127812.0 19975.0
128483.0 19571.0
132014.0 19277.0
134406.0 19236.0
136092.0 19135.0
136105.0 19012.0
137553.0 18993.0
138669.0 18722.0
143377.0 18349.0
144887.0 18261.0
145941.0 17908.0
154432.0 17881.0
161808.0 17739.0
167716.0 17262.0
223450.0 16561.0

38480.0 50225.0
38788.0 48642.0
39664.0 48215.0
40961.0 48061.0
41271.0 47070.0
41385.0 46707.0
41659.0 46003.0
41841.0 45019.0
42467.0 44860.0
42620.0 44841.0
43466.0 44656.0
43604.0 44027.0
44148.0 43740.0
44850.0 43389.0
45120.0 43211.0
45297.0 42814.0
45823.0 42164.0
47036.0 41745.0
47257.0 41522.0
47368.0 40892.0
47923.0 40873.0
48017.0 40828.0
48042.0 40611.0
48809.0 40387.0
49127.0 40086.0
49634.0 39655.0
49699.0 39632.0
50023.0 39383.0
50576.0 39361.0
51733.0 38968.0
51751.0 38762.0
52419.0 38585.0
52791.0 38487.0
52983.0 38285.0
53486.0 38150.0
54209.0 37422.0
55223.0 37314.0
55671.0 37131.0
55763.0 36863.0
55934.0 36508.0
56472.0 36473.0
56848.0 36060.0
